event_time,BNB_funding_rate,BNB_annual_rate,BTC_funding_rate,BTC_annual_rate,ETH_funding_rate,ETH_annual_rate,FARTCOIN_funding_rate,FARTCOIN_annual_rate,SOL_funding_rate,SOL_annual_rate,WIF_funding_rate,WIF_annual_rate
22:29:18,0.0,0.0,3.595e-05,3.936525,7.683e-05,8.412885,5e-05,5.4750000000000005,-6.802e-05,-7.44819,1.244e-05,1.36218
22:44:39,0.0,0.0,4.002e-05,4.38219,8.087e-05,8.855265000000001,5e-05,5.4750000000000005,-6.106e-05,-6.686070000000001,1.76e-06,0.19272
22:59:54,0.0,0.0,4.373e-05,4.788435,8.227e-05,9.008565,5e-05,5.4750000000000005,-5.517e-05,-6.0411150000000005,4.66e-06,0.5102700000000001
23:15:09,0.0,0.0,4.804e-05,5.26038,8.321e-05,9.111494999999998,5e-05,5.4750000000000005,-4.922e-05,-5.38959,1.169e-05,1.2800550000000002
23:30:21,0.0,0.0,5.042e-05,5.52099,8.43e-05,9.23085,5e-05,5.4750000000000005,-4.079e-05,-4.466505000000001,2.295e-05,2.513025
