token_id,name,symbol,price,market_cap,volume_24h,market_cap_rank,trending_rank,ath_date,discovered_at
momentum-3,Momentum,MMT,0.987152,201430969,2142126655,296,4,2025-11-04T22:56:36.234Z,2025-11-05T16:24:01.824562
intuition,Intuition,TRUST,0.30425,55086389,213565858,655,7,2025-11-05T09:29:25.680Z,2025-11-05T16:24:01.824573
