symbol,name,price,token_id,exchange,sz_decimals,discovered_at
HMSTR,HMSTR,0.00034,hmstr,hyperliquid,0,2025-11-03T16:43:24.968951
HPOS,HPOS,0.041873,hpos,hyperliquid,0,2025-11-03T16:43:24.968151
HYPE,HYPE,39.1725,hype,hyperliquid,2,2025-11-03T16:43:24.969002
HYPER,HYPER,0.155225,hyper,hyperliquid,0,2025-11-03T16:43:24.969144
ILV,ILV,12.118,ilv,hyperliquid,2,2025-11-03T16:43:24.968630
IMX,IMX,0.44222,imx,hyperliquid,1,2025-11-03T16:43:24.968639
INIT,INIT,0.12267,init,hyperliquid,0,2025-11-03T16:43:24.969152
INJ,INJ,6.7865,inj,hyperliquid,1,2025-11-03T16:43:24.968052
IO,IO,0.2683,io,hyperliquid,1,2025-11-03T16:43:24.968906
IOTA,IOTA,0.12822,iota,hyperliquid,0,2025-11-03T16:43:24.968995
IP,IP,3.9877,ip,hyperliquid,1,2025-11-03T16:43:24.969116
JELLY,JELLY,0.037555,jelly,hyperliquid,0,2025-11-03T16:43:24.969101
JTO,JTO,0.807365,jto,hyperliquid,0,2025-11-03T16:43:24.968710
JUP,JUP,0.359485,jup,hyperliquid,0,2025-11-03T16:43:24.968691
KAITO,KAITO,0.89446,kaito,hyperliquid,0,2025-11-03T16:43:24.969123
KAS,KAS,0.046482,kas,hyperliquid,0,2025-11-03T16:43:24.968540
LAUNCHCOIN,LAUNCHCOIN,0.060367,launchcoin,hyperliquid,0,2025-11-03T16:43:24.969159
LAYER,LAYER,0.230225,layer,hyperliquid,0,2025-11-03T16:43:24.969112
LDO,LDO,0.75743,ldo,hyperliquid,1,2025-11-03T16:43:24.968067
LINEA,LINEA,0.012009,linea,hyperliquid,0,2025-11-03T16:43:24.969203
LINK,LINK,15.2225,link,hyperliquid,1,2025-11-03T16:43:24.968071
LISTA,LISTA,0.12466,lista,hyperliquid,0,2025-11-03T16:43:24.968919
LOOM,LOOM,0.071161,loom,hyperliquid,0,2025-11-03T16:43:24.968510
LTC,LTC,88.044,ltc,hyperliquid,2,2025-11-03T16:43:24.968040
MANTA,MANTA,0.09548,manta,hyperliquid,1,2025-11-03T16:43:24.968768
MATIC,MATIC,0.37621,matic,hyperliquid,1,2025-11-03T16:43:24.968010
MAV,MAV,0.029088,mav,hyperliquid,0,2025-11-03T16:43:24.968721
MAVIA,MAVIA,0.08346,mavia,hyperliquid,1,2025-11-03T16:43:24.968801
ME,ME,0.39706,me,hyperliquid,1,2025-11-03T16:43:24.969005
MEGA,MEGA,0.327695,mega,hyperliquid,0,2025-11-03T16:43:24.969263
MELANIA,MELANIA,0.09994,melania,hyperliquid,1,2025-11-03T16:43:24.969066
MEME,MEME,0.001331,meme,hyperliquid,0,2025-11-03T16:43:24.968600
MERL,MERL,0.317115,merl,hyperliquid,0,2025-11-03T16:43:24.968871
MET,MET,0.381445,met,hyperliquid,0,2025-11-03T16:43:24.969260
MEW,MEW,0.001538,mew,hyperliquid,0,2025-11-03T16:43:24.968923
MINA,MINA,0.11359,mina,hyperliquid,0,2025-11-03T16:43:24.968570
MKR,MKR,1831.5,mkr,hyperliquid,4,2025-11-03T16:43:24.968122
MNT,MNT,1.22945,mnt,hyperliquid,1,2025-11-03T16:43:24.968852
MON,MON,0.039566,mon,hyperliquid,0,2025-11-03T16:43:24.969256
MOODENG,MOODENG,0.087602,moodeng,hyperliquid,0,2025-11-03T16:43:24.968970
MORPHO,MORPHO,1.84965,morpho,hyperliquid,1,2025-11-03T16:43:24.969058
MOVE,MOVE,0.057927,move,hyperliquid,0,2025-11-03T16:43:24.969008
MYRO,MYRO,0.015813,myro,hyperliquid,0,2025-11-03T16:43:24.968834
NEAR,NEAR,1.90875,near,hyperliquid,1,2025-11-03T16:43:24.968597
NEIROETH,NEIROETH,0.01808,neiroeth,hyperliquid,0,2025-11-03T16:43:24.968959
NEO,NEO,4.7593,neo,hyperliquid,2,2025-11-03T16:43:24.968612
NFTI,NFTI,6.5609,nfti,hyperliquid,1,2025-11-03T16:43:24.968687
NIL,NIL,0.1911,nil,hyperliquid,0,2025-11-03T16:43:24.969126
NOT,NOT,0.000657,not,hyperliquid,0,2025-11-03T16:43:24.968896
NTRN,NTRN,0.1238,ntrn,hyperliquid,0,2025-11-03T16:43:24.968714
NXPC,NXPC,0.31707,nxpc,hyperliquid,0,2025-11-03T16:43:24.969162
OGN,OGN,0.055683,ogn,hyperliquid,0,2025-11-03T16:43:24.968514
OM,OM,0.09338,om,hyperliquid,1,2025-11-03T16:43:24.969119
OMNI,OMNI,4.1915,omni,hyperliquid,2,2025-11-03T16:43:24.968882
ONDO,ONDO,0.612985,ondo,hyperliquid,0,2025-11-03T16:43:24.968785
OP,OP,0.35824,op,hyperliquid,1,2025-11-03T16:43:24.968036
ORBS,ORBS,0.01939,orbs,hyperliquid,0,2025-11-03T16:43:24.968544
ORDI,ORDI,4.0307,ordi,hyperliquid,2,2025-11-03T16:43:24.968604
OX,OX,0.007459,ox,hyperliquid,0,2025-11-03T16:43:24.968190
PANDORA,PANDORA,3026.3,pandora,hyperliquid,5,2025-11-03T16:43:24.968812
PAXG,PAXG,4012.8,paxg,hyperliquid,3,2025-11-03T16:43:24.969130
PENDLE,PENDLE,2.68875,pendle,hyperliquid,0,2025-11-03T16:43:24.968581
PENGU,PENGU,0.015472,pengu,hyperliquid,0,2025-11-03T16:43:24.969018
PEOPLE,PEOPLE,0.009769,people,hyperliquid,0,2025-11-03T16:43:24.968737
PIXEL,PIXEL,0.024027,pixel,hyperliquid,0,2025-11-03T16:43:24.968820
PNUT,PNUT,0.10972,pnut,hyperliquid,1,2025-11-03T16:43:24.968980
POL,POL,0.171105,pol,hyperliquid,0,2025-11-03T16:43:24.968934
POLYX,POLYX,0.069714,polyx,hyperliquid,0,2025-11-03T16:43:24.968574
POPCAT,POPCAT,0.12412,popcat,hyperliquid,0,2025-11-03T16:43:24.968878
PROMPT,PROMPT,0.062495,prompt,hyperliquid,0,2025-11-03T16:43:24.969134
PROVE,PROVE,0.586945,prove,hyperliquid,0,2025-11-03T16:43:24.969186
