timestamp,btc_oi,eth_oi,total_oi,btc_change_pct,eth_change_pct,total_change_pct
2025-11-01 23:20:49.414,8462659813.919999,6134929266.607301,14597589080.5273,0.0,0.0,0.0
2025-11-01 23:26:59.678,8463071926.616,6135175749.591201,14598247676.207201,0.00486977741115364,0.004017698871308726,0.004511674333809464
2025-11-01 23:32:05.043,8458808834.32,6135574435.8546,14594383270.174599,-0.05037287090274203,0.006498367441644837,-0.02647171166235706
2025-11-01 23:39:15.667,8452040584.176,6128833763.9268,14580874348.102798,-0.08001422276549355,-0.10986211638815034,-0.09256247298511998
2025-11-01 23:44:26.361,8451077792.796,6125139116.090899,14576216908.886898,-0.01139122996880378,-0.06028304858986928,-0.03194211200720228
2025-11-01 23:50:34.929,8435404279.2890005,6117010076.2053995,14552414355.4944,-0.18546171140868775,-0.13271600418257856,-0.16329719529616743
2025-11-01 23:55:42.786,8434678482.056,6115628515.0128,14550306997.0688,-0.008604178400586759,-0.02258556345972751,-0.01448116012999863
2025-11-02 00:02:54.083,8426541069.792001,6111374507.024,14537915576.816002,-0.09647566627833627,-0.06955962054198031,-0.08516260347836212
2025-11-02 00:10:10.309,8433494701.145,6120940871.9268,14554435573.0718,0.08252058935459895,0.15653376980587058,0.1136338711592411
2025-11-02 00:16:21.453,8427980387.379001,6115710853.637,14543691241.016,-0.06538586862752313,-0.08544467916340683,-0.07382170199494606
