timestamp,long_size,short_size,total_size
2025-11-04 21:36:56.040792,1257174.1900431504,1638913.88266056,2896088.0727037108
2025-11-04 21:47:10.065527,999056.4368769601,2074069.7660057,3073126.20288266
2025-11-04 21:57:59.827375,16213360.84854868,5274990.0098314,21488350.85838008
2025-11-04 22:08:08.191861,11400619.882224701,6100689.315415621,17501309.197640322
2025-11-04 22:18:58.850849,14137843.7575017,12839008.185627438,26976851.943129137
2025-11-04 22:29:07.165231,4018566.6084853,1960357.5861642,5978924.1946495
2025-11-04 22:39:55.540274,14989553.016599897,3399464.21732786,18389017.233927757
2025-11-04 22:50:08.998629,5390836.78712938,2212239.3333571,7603076.120486479
2025-11-04 23:00:57.127585,723749.6206456,3538185.7031437997,4261935.3237894
2025-11-04 23:11:11.898251,351851.90921959997,3464170.03213794,3816021.94135754
2025-11-04 23:22:05.753039,906528.332744,5956647.0606966205,6863175.393440621
2025-11-04 23:32:26.979991,754584.9681233001,5110868.1280529,5865453.0961762
2025-11-04 23:42:35.587278,681489.0430801001,2299056.01806782,2980545.06114792
2025-11-04 23:53:33.426719,1063676.4989555,547143.8663076,1610820.3652631002
2025-11-05 00:04:26.754474,690726.6832067999,946571.5186589998,1637298.2018657997
2025-11-05 00:15:14.866151,317228.01394502004,2027050.2835058998,2344278.2974509196
2025-11-05 00:26:07.766936,499476.2773207,270616.1302992,770092.4076199001
2025-11-05 00:36:16.904376,131790.10435449998,221386.2201351,353176.3244896
2025-11-05 00:47:04.971070,342466.52843248006,642084.3918397999,984550.92027228
2025-11-05 00:57:14.371173,129090.03195449998,686352.614866,815442.6468205
2025-11-05 01:08:02.399178,609904.2529284001,565964.8315181001,1175869.0844465
2025-11-05 01:18:10.678071,708796.2862297,216934.2173988,925730.5036285
2025-11-05 01:28:59.751788,1124195.86234198,291972.96975130006,1416168.83209328
2025-11-05 01:39:48.141539,2179933.8382665804,129802.7945489,2309736.63281548
2025-11-05 01:49:56.721014,2481484.2287330003,101027.6560102,2582511.8847432
2025-11-05 02:00:05.213307,133284.3475578,126150.526581,259434.87413880002
2025-11-05 02:10:56.086049,1986982.7660309998,214653.0143375,2201635.7803685
2025-11-05 02:21:45.091357,5098743.15484955,314002.61732019996,5412745.77216975
2025-11-05 02:32:38.887479,11015690.365471851,764318.7473319999,11780009.11280385
2025-11-05 02:42:48.587130,2302051.12580421,1133349.6811364999,3435400.80694071
2025-11-05 02:52:56.997160,1292610.5629125102,1510272.8427341,2802883.40564661
2025-11-05 03:03:47.826840,272192.60320280003,3709137.4795467,3981330.0827495
2025-11-05 03:14:47.063698,536304.2943903,1322406.9963827,1858711.290773
2025-11-05 03:24:55.353821,297945.3328346,328238.694096,626184.0269305999
2025-11-05 03:35:04.175115,161460.66342939998,317265.51520069997,478726.1786301
2025-11-05 03:45:52.013498,90501.701501,1268458.0159317004,1358959.7174327003
2025-11-05 03:56:00.246300,132812.195015,1415417.5366186001,1548229.7316336
2025-11-05 04:06:48.885112,142757.74929309997,2195425.5904842,2338183.3397773
2025-11-05 04:17:43.616374,392294.7530557,1441843.9545817,1834138.7076374
2025-11-05 04:27:51.911019,340881.5364211,893986.7473028,1234868.2837239
2025-11-05 04:38:03.159502,112859.7863793,1050181.2116185,1163040.9979978001
2025-11-05 04:48:12.178459,111674.3259663,614407.4762421,726081.8022084
2025-11-05 04:58:21.192438,124836.3293886,504171.98489769996,629008.3142863
2025-11-05 05:08:29.624679,160528.0010123,118182.63998322,278710.64099552
2025-11-05 05:19:20.237489,463659.4050086,66634.36343751999,530293.76844612
2025-11-05 05:30:13.415574,1720773.8484472,107804.12329349999,1828577.9717406998
2025-11-05 05:41:01.581983,829379.0064804,254355.1178808,1083734.1243612
2025-11-05 05:51:49.054858,261619.76494540003,881416.1966448999,1143035.9615902998
2025-11-05 06:12:05.882360,432083.70721829997,377569.1024088,809652.8096270999
2025-11-05 06:22:14.756320,147155.9775114,542463.6097464,689619.5872578
2025-11-05 06:32:32.911962,192012.2915,94444.3077799,286456.59927989997
2025-11-05 06:42:41.445248,161385.6330232,122393.6760725,283779.30909570004
2025-11-05 06:53:37.283828,485119.8961795999,200497.0122259,685616.9084054999
2025-11-05 07:03:45.643584,380955.1071078,171873.4883718,552828.5954796
2025-11-05 07:14:36.818548,734986.7724407001,264881.6856578,999868.4580985
2025-11-05 07:25:29.640419,763281.8494338999,793410.3877908,1556692.2372247
2025-11-05 07:35:37.929890,272863.9456959,156533.0790183,429397.0247142
2025-11-05 07:45:46.206477,122866.79970930002,119350.64837119999,242217.4480805
2025-11-05 07:56:37.194908,137669.98280690002,386598.8099412001,524268.7927481001
2025-11-05 08:07:25.208904,323443.0525420001,496819.4642432,820262.5167852001
2025-11-05 08:17:33.509265,318060.8524583,378855.0268081,696915.8792664
2025-11-05 08:28:22.348335,539954.6677449001,181014.9035684,720969.5713133002
2025-11-05 08:38:32.890666,154260.9651585,173664.6815314,327925.6466899
2025-11-05 08:48:41.006862,85337.63149550001,97993.9335267,183331.5650222
2025-11-05 08:59:38.854937,169139.27448661,147381.56485080003,316520.83933741006
2025-11-05 09:10:32.770032,679047.00294861,209076.1555428,888123.15849141
2025-11-05 09:20:41.225345,894226.3116444,174970.7566393,1069197.0682837
2025-11-05 09:31:30.188783,2456727.3423352,148502.26250419999,2605229.6048394
2025-11-05 09:42:18.980337,346419.1512148,455756.9407771,802176.0919919
2025-11-05 09:53:12.203826,683771.4661187,643853.4512164999,1327624.9173352
2025-11-05 10:04:03.209711,106447.54546200001,1099992.6811908002,1206440.2266528
