datetime,open,high,low,close,volume
2025-07-19 15:00:00,728.85000000,730.00000000,727.30000000,727.57000000,11221.11500000
2025-07-19 15:15:00,727.57000000,730.75000000,727.56000000,729.94000000,4949.89800000
2025-07-19 15:30:00,729.94000000,732.09000000,729.30000000,732.01000000,2209.15700000
2025-07-19 15:45:00,732.01000000,732.01000000,730.01000000,730.81000000,1921.45200000
2025-07-19 16:00:00,730.81000000,731.05000000,728.34000000,728.82000000,2133.91900000
2025-07-19 16:15:00,728.82000000,732.44000000,728.34000000,732.31000000,1523.31000000
2025-07-19 16:30:00,732.31000000,732.93000000,731.66000000,732.87000000,1340.31000000
2025-07-19 16:45:00,732.86000000,733.18000000,731.33000000,732.11000000,1041.17200000
2025-07-19 17:00:00,732.12000000,732.20000000,730.37000000,730.67000000,851.53100000
2025-07-19 17:15:00,730.67000000,731.40000000,730.01000000,730.37000000,836.47100000
2025-07-19 17:30:00,730.38000000,730.58000000,728.26000000,728.76000000,1400.28300000
2025-07-19 17:45:00,728.77000000,730.00000000,728.06000000,729.05000000,796.03000000
2025-07-19 18:00:00,729.06000000,731.69000000,728.62000000,731.21000000,1259.95800000
2025-07-19 18:15:00,731.20000000,731.84000000,730.60000000,731.10000000,893.20500000
2025-07-19 18:30:00,731.10000000,732.22000000,731.10000000,731.34000000,418.03400000
2025-07-19 18:45:00,731.33000000,731.70000000,730.20000000,730.59000000,1338.09400000
2025-07-19 19:00:00,730.60000000,731.36000000,728.55000000,729.80000000,1008.13400000
2025-07-19 19:15:00,729.81000000,731.80000000,729.72000000,731.77000000,756.15100000
2025-07-19 19:30:00,731.78000000,735.08000000,731.78000000,734.49000000,1364.80500000
2025-07-19 19:45:00,734.50000000,735.02000000,733.76000000,734.47000000,1168.17900000
2025-07-19 20:00:00,734.46000000,735.59000000,734.00000000,734.86000000,1099.76000000
2025-07-19 20:15:00,734.86000000,734.86000000,733.48000000,734.61000000,980.46100000
2025-07-19 20:30:00,734.61000000,735.10000000,733.90000000,734.91000000,596.12300000
2025-07-19 20:45:00,734.90000000,735.71000000,732.77000000,732.77000000,1086.54400000
2025-07-19 21:00:00,732.76000000,733.30000000,728.13000000,728.60000000,2182.64300000
2025-07-19 21:15:00,728.60000000,728.98000000,725.10000000,728.26000000,4632.67700000
2025-07-19 21:30:00,728.26000000,728.70000000,727.09000000,728.10000000,1115.96100000
2025-07-19 21:45:00,728.10000000,730.51000000,728.09000000,730.37000000,819.18700000
2025-07-19 22:00:00,730.38000000,731.20000000,729.05000000,731.19000000,1306.52600000
2025-07-19 22:15:00,731.20000000,731.91000000,730.39000000,730.43000000,771.29500000
2025-07-19 22:30:00,730.44000000,731.99000000,730.37000000,731.89000000,512.76200000
2025-07-19 22:45:00,731.90000000,732.53000000,731.40000000,732.53000000,400.52600000
2025-07-19 23:00:00,732.52000000,732.80000000,731.91000000,732.57000000,473.00400000
2025-07-19 23:15:00,732.58000000,732.58000000,731.02000000,731.89000000,572.88300000
2025-07-19 23:30:00,731.90000000,733.12000000,731.90000000,732.52000000,693.28900000
2025-07-19 23:45:00,732.51000000,733.50000000,731.97000000,733.20000000,798.84500000
2025-07-20 00:00:00,733.20000000,733.37000000,731.85000000,732.30000000,851.08900000
2025-07-20 00:15:00,732.30000000,733.40000000,731.59000000,731.60000000,1012.89800000
2025-07-20 00:30:00,731.60000000,733.65000000,731.50000000,732.09000000,1496.15500000
2025-07-20 00:45:00,732.10000000,734.26000000,732.10000000,734.14000000,646.74700000
2025-07-20 01:00:00,734.15000000,736.14000000,734.14000000,736.07000000,1905.81000000
2025-07-20 01:15:00,736.07000000,737.62000000,736.07000000,737.18000000,1331.27300000
2025-07-20 01:30:00,737.19000000,738.82000000,736.72000000,738.73000000,2894.05800000
2025-07-20 01:45:00,738.65000000,741.49000000,738.51000000,738.67000000,4877.44200000
2025-07-20 02:00:00,738.66000000,739.45000000,737.50000000,739.36000000,1493.36300000
2025-07-20 02:15:00,739.36000000,740.10000000,738.25000000,739.65000000,1891.86000000
2025-07-20 02:30:00,739.66000000,741.79000000,738.81000000,741.18000000,2914.50100000
2025-07-20 02:45:00,741.19000000,741.79000000,740.92000000,741.73000000,1230.58000000
2025-07-20 03:00:00,741.72000000,741.88000000,741.10000000,741.62000000,751.08500000
2025-07-20 03:15:00,741.63000000,742.17000000,740.84000000,742.09000000,2017.64000000
2025-07-20 03:30:00,742.10000000,746.15000000,742.09000000,744.29000000,5070.36100000
2025-07-20 03:45:00,744.29000000,744.49000000,740.54000000,742.92000000,4084.94400000
2025-07-20 04:00:00,742.92000000,744.17000000,740.98000000,741.80000000,1954.64600000
2025-07-20 04:15:00,741.80000000,743.93000000,741.70000000,743.47000000,1452.22300000
2025-07-20 04:30:00,743.46000000,744.13000000,742.18000000,742.40000000,1552.00500000
2025-07-20 04:45:00,742.40000000,742.70000000,741.30000000,741.90000000,1193.24800000
2025-07-20 05:00:00,741.90000000,742.27000000,740.63000000,741.01000000,1239.18900000
2025-07-20 05:15:00,741.01000000,741.38000000,738.92000000,739.68000000,1919.62800000
2025-07-20 05:30:00,739.69000000,741.27000000,739.55000000,741.27000000,1604.43300000
