strategy,coin,data_file,return_pct,buy_hold_pct,diff,sharpe_ratio,max_drawdown_pct,num_trades,win_rate,status,timestamp
VolumetricBreakout,DOGE,DOGE-USDT-15m.csv,8.22071,23.76272,-15.542010000000001,0.65561,-17.0035,1.0,0.0,success,2025-11-04 21:56:33
VolumetricBreakout,DOT,DOT-USDT-15m.csv,-0.62129,2.1723,-2.79359,-0.08272,-12.29042,1.0,0.0,success,2025-11-04 21:56:35
VolumetricBreakout,ETH,ETH-USDT-15m.csv,-11.41637,19.44399,-30.86036,-1.64531,-20.14379,1.0,0.0,success,2025-11-04 21:56:36
VolumetricBreakout,FET,FET-USDT-15m.csv,-9.03422,-23.38377,14.349549999999999,-2.20422,-15.29257,1.0,0.0,success,2025-11-04 21:56:38
VolumetricBreakout,HBAR,HBAR-USDT-15m.csv,-6.68264,-20.69216,14.009520000000002,-1.96717,-9.26069,1.0,0.0,success,2025-11-04 21:56:39
VolumetricBreakout,KSM,KSM-USDT-15m.csv,-0.5099,-0.73628,0.22638000000000003,-0.05664,-14.08864,1.0,100.0,success,2025-11-04 21:56:40
VolumetricBreakout,LDO,LDO-USDT-15m.csv,12.05729,39.61131,-27.55402,0.75861,-17.37417,1.0,0.0,success,2025-11-04 21:56:42
VolumetricBreakout,LINK,LINK-USDT-15m.csv,3.5993,12.55165,-8.952350000000001,0.31737,-15.05498,1.0,0.0,success,2025-11-04 21:56:43
VolumetricBreakout,LTC,LTC-USDT-15m.csv,2.12889,7.35909,-5.2302,0.34399,-10.83783,1.0,0.0,success,2025-11-04 21:56:45
VolumetricBreakout,NEAR,NEAR-USDT-15m.csv,-1.30313,0.20387,-1.507,-0.2253,-11.35266,1.0,0.0,success,2025-11-04 21:56:46
VolumetricBreakout,PEPE,PEPE-USDT-15m.csv,-7.24454,-23.52466,16.28012,-1.60351,-13.1175,1.0,100.0,success,2025-11-04 21:56:48
VolumetricBreakout,POL,POL-USDT-15m.csv,-2.78174,0.89362,-3.67536,-0.33724,-14.68268,1.0,0.0,success,2025-11-04 21:56:49
VolumetricBreakout,RENDER,RENDER-USDT-15m.csv,-6.0635,-11.6334,5.5699,-0.96684,-13.51044,1.0,0.0,success,2025-11-04 21:56:51
VolumetricBreakout,SAND,SAND-USDT-15m.csv,-6.85645,-15.36278,8.506330000000002,-1.41642,-10.32747,1.0,0.0,success,2025-11-04 21:56:52
VolumetricBreakout,SEI,SEI-USDT-15m.csv,-4.41858,-14.7649,10.34632,-0.84132,-10.30885,1.0,100.0,success,2025-11-04 21:56:54
VolumetricBreakout,SOL,SOL-USDT-15m.csv,10.043,22.14448,-12.101480000000002,0.91927,-12.85496,1.0,100.0,success,2025-11-04 21:56:55
VolumetricBreakout,SUI,SUI-USDT-15m.csv,-5.7796,-11.46384,5.684239999999999,-1.14754,-11.85027,1.0,0.0,success,2025-11-04 21:56:57
VolumetricBreakout,TAO,TAO-USDT-15m.csv,-6.84955,-16.5995,9.749949999999998,-1.05078,-17.52298,1.0,100.0,success,2025-11-04 21:56:58
VolumetricBreakout,TON,TON-USDT-15m.csv,5.79026,-15.64039,21.43065,0.92471,-9.67313,1.0,0.0,success,2025-11-04 21:57:00
VolumetricBreakout,UNI,UNI-USDT-15m.csv,-2.36619,-9.65678,7.29059,-0.28478,-19.3121,1.0,100.0,success,2025-11-04 21:57:01
VolumetricBreakout,XLM,XLM-USDT-15m.csv,-6.62792,-19.61442,12.9865,-2.04839,-8.88635,1.0,0.0,success,2025-11-04 21:57:03
