coin_name,symbol,price,price_change_1h_pct,price_change_24h_pct,price_change_7d_pct,volume_24h,market_cap,market_cap_rank,momentum_score,momentum_type,category,high_24h,low_24h,ath,ath_date,circulating_supply,total_supply
Avantis AVNT,AVNT,0.521413,1.350888764388694,-4.0893,-20.069559639351247,63845352.0,135097453.0,395.0,6.015563897137241,⚠️ MIXED,Derivatives,0.550587,0.498461,2.64,2025-09-22T00:21:56.300Z,258205903.1466792,1000000000.0
Quickswap QUICK,QUICK,0.01607507,1.1757049844136251,-1.01694,-14.899633749126028,4159930.0,11521464.0,1579.0,5.970205497232314,⚠️ MIXED,Derivatives,0.01651131,0.01513407,0.229794,2022-05-05T09:44:15.144Z,716263713.9605173,943283376.4965146
AltLayer ALT,ALT,0.01565979,1.3868634582553825,-8.90801,-18.341892427414543,31816994.0,74230815.0,554.0,5.268212720685257,⚠️ MIXED,Rollups-as-a-Service (RaaS),0.01719118,0.01486926,0.676743,2024-03-28T23:20:10.066Z,4718402775.0,10000000000.0
c8ntinuum CTM,CTM,0.03829877,1.3009190744346604,-0.38974,-18.88088733619962,1246423.0,31598702.0,931.0,4.590906880407084,⚠️ MIXED,Layer 0 (L0),0.03909298,0.03546456,0.11106,2025-04-22T15:05:26.443Z,824932137.4576089,888888360.4576089
Dymension DYM,DYM,0.078505,1.8963928069681728,-3.91214,-19.265147771441075,8216029.0,31199734.0,942.0,3.4995774528172046,⚠️ MIXED,Rollups-as-a-Service (RaaS),0.082985,0.070934,8.5,2024-02-14T14:29:43.198Z,397385244.0,1000000000.0
Perpetual Protocol PERP,PERP,0.14159,1.0845135874246852,-3.86172,-26.463895565058863,41060023.0,10338828.0,1661.0,3.4728284914613905,⚠️ MIXED,Derivatives,0.148359,0.130386,24.4,2021-08-30T15:06:09.177Z,72609864.24405634,150000000.0
Syscoin SYS,SYS,0.0236882,1.1104823532678811,-2.32229,-20.23587307964214,5256202.0,19430282.0,1226.0,3.4310602387967197,⚠️ MIXED,Masternodes,0.02465141,0.02233394,1.3,2022-01-02T04:08:51.334Z,844164545.4678606,844202729.2447983
BitCore BTX,BTX,0.069369,0.3845766895832629,0.60223,3.929346257184793,74.24,1375788.0,3491.0,2.3209381354673755,📈 STRONG UPTREND,Masternodes,0.075329,0.06798,38.84,2017-11-16T00:00:00.000Z,19832383.91054785,19832623.75429785
Divi DIVI,DIVI,0.00163177,0.1265647759595935,-1.83813,6.955337779381263,54158.0,7299848.0,1912.0,2.256009066944424,⚡ RECOVERING,Masternodes,0.00169797,0.00162922,0.183363,2021-12-02T06:47:39.220Z,4473566963.553116,4473762179.553094
Zeta ZEX,ZEX,0.0717,2.5261702789021725,-7.36297,-15.578471934257712,550367.0,12047017.0,1541.0,2.06495428207735,⚠️ MIXED,Derivatives,0.077545,0.069541,0.307774,2024-06-27T14:06:08.974Z,171739828.790614,999997208.153521
Tradoor TRADOOR,TRADOOR,1.94,0.5340532771298894,1.92049,-27.69106651374428,4168016.0,27988199.0,998.0,1.6065310499282663,⚠️ MIXED,Derivatives,2.07,1.89,4.98,2025-10-09T07:52:20.624Z,14349000.0,60000000.0
Fulcrom FUL,FUL,0.00422577,1.276733995690383,-4.5937,-18.592912219684685,44839.0,69921961.0,570.0,1.4400719112642015,⚠️ MIXED,Derivatives,0.00453842,0.00398963,0.04004179,2023-04-05T02:48:03.311Z,16556452987.7008,20000000000.0
Analog ANLOG,ANLOG,0.00123894,0.603105626813501,0.24734,-9.714220029757712,413481.0,2301643.0,2929.0,1.3091351134596154,⚠️ MIXED,Layer 0 (L0),0.00124159,0.00121475,0.0100305,2025-02-10T11:26:08.041Z,1857089401.595,9057971000.0
sETH SETH,SETH,3261.05,0.7753063173983825,-5.76824,-17.913408598272515,265.66,37793570.0,830.0,1.2592258241706702,⚠️ MIXED,Derivatives,3512.84,3051.92,4876.35,2021-11-10T14:26:23.071Z,11584.25414847524,11584.25414847524
Premia PREMIA,PREMIA,0.112136,14.279158709956487,1.64643,-17.849976609972202,28933.0,5797926.0,2079.0,1.2097700980024162,⚠️ MIXED,Derivatives,0.114721,0.094249,5.79,2021-10-26T03:05:54.595Z,51939619.64090679,100000000.0
