rank,coin_id,coin_name,symbol,price,price_change_24h,volume_24h,market_cap,category,scraped_at
,awe-network,AWE Network AWE,AWE,,1.3%,N/A,N/A,Derivatives,2025-11-05T13:15:14.272243
,apex-token,APEX APEX,APEX,,1.3%,N/A,N/A,Derivatives,2025-11-05T13:15:14.405985
,gmx,GMX GMX,GMX,,1.3%,N/A,N/A,Derivatives,2025-11-05T13:15:14.551630
,uma,UMA UMA,UMA,,1.5%,N/A,N/A,Derivatives,2025-11-05T13:15:14.673504
,fulcrom,Fulcrom FUL,FUL,,1.3%,N/A,N/A,Derivatives,2025-11-05T13:15:14.777730
,woo,WOO WOO,WOO,,1.0%,N/A,N/A,Derivatives,2025-11-05T13:15:14.900558
,whiteheart,Whiteheart WHITE,WHITE,,N/A,N/A,N/A,Derivatives,2025-11-05T13:15:15.013833
,aevo,Aevo AEVO,AEVO,,0.8%,N/A,N/A,Derivatives,2025-11-05T13:15:15.154148
,synthetix-susd,Synthetix sUSD SUSD,SUSD,,0.5%,N/A,N/A,Derivatives,2025-11-05T13:15:15.269909
,seth,sETH SETH,SETH,,0.8%,N/A,N/A,Derivatives,2025-11-05T13:15:15.388014
,gains-network,Gains Network GNS,GNS,,0.9%,N/A,N/A,Derivatives,2025-11-05T13:15:15.519800
,nirvana-ana-2,Nirvana ANA ANA,ANA,,0.0%,N/A,N/A,Derivatives,2025-11-05T13:15:15.708876
,derive,Derive DRV,DRV,,0.5%,N/A,N/A,Derivatives,2025-11-05T13:15:15.843773
,hegic,Hegic HEGIC,HEGIC,,0.8%,N/A,N/A,Derivatives,2025-11-05T13:15:16.008505
,tradoor,Tradoor TRADOOR,TRADOOR,,0.5%,N/A,N/A,Derivatives,2025-11-05T13:15:16.162189
,thales,Thales THALES,THALES,,0.9%,N/A,N/A,Derivatives,2025-11-05T13:15:16.290294
,adrena,Adrena ADX,ADX,,1.0%,N/A,N/A,Derivatives,2025-11-05T13:15:16.435073
,bmx,BMX BMX,BMX,,1.6%,N/A,N/A,Derivatives,2025-11-05T13:15:16.554478
,parcl,Parcl PRCL,PRCL,,0.8%,N/A,N/A,Derivatives,2025-11-05T13:15:16.716209
,mango,Mango MNGO,MNGO,,8.8%,N/A,N/A,Derivatives,2025-11-05T13:15:16.886072
,superp,Superp SUP,SUP,,0.0%,N/A,N/A,Derivatives,2025-11-05T13:15:17.032399
,strike-2,Strike STRIKE,STRIKE,,1.0%,N/A,N/A,Derivatives,2025-11-05T13:15:17.365069
,zeta,Zeta ZEX,ZEX,,2.6%,N/A,N/A,Derivatives,2025-11-05T13:15:17.834021
,dydx-ethdydx,dYdX ETHDYDX,ETHDYDX,,1.7%,N/A,N/A,Derivatives,2025-11-05T13:15:17.988022
,quickswap,Quickswap QUICK,QUICK,,1.2%,N/A,N/A,Derivatives,2025-11-05T13:15:18.110410
,perpetual-protocol,Perpetual Protocol PERP,PERP,,1.2%,N/A,N/A,Derivatives,2025-11-05T13:15:18.242544
,pika-protocol,Pika Protocol PIKA,PIKA,,N/A,N/A,N/A,Derivatives,2025-11-05T13:15:18.363555
,mux-protocol,MUX Protocol MCB,MCB,,0.2%,N/A,N/A,Derivatives,2025-11-05T13:15:18.484390
,indigo-protocol,Indigo Protocol INDY,INDY,,1.3%,N/A,N/A,Derivatives,2025-11-05T13:15:18.586553
,cryptex-finance,Cryptex Finance CTX,CTX,,0.6%,N/A,N/A,Derivatives,2025-11-05T13:15:18.711438
,symmio,SYMMIO SYMM,SYMM,,4.9%,N/A,N/A,Derivatives,2025-11-05T13:15:18.825539
,kwenta,Kwenta KWENTA,KWENTA,,0.5%,N/A,N/A,Derivatives,2025-11-05T13:15:18.952189
,index-coop-eth-2x-flexible-leverage-index,Index Coop - ETH 2x Flexible Leverage Index ETH2X-FLI,ETH2X-FLI,,1.1%,N/A,N/A,Derivatives,2025-11-05T13:15:19.071778
,divergence-protocol,Divergence Protocol DIVER,DIVER,,0.0%,N/A,N/A,Derivatives,2025-11-05T13:15:19.215972
,premia,Premia PREMIA,PREMIA,,14.3%,N/A,N/A,Derivatives,2025-11-05T13:15:19.339221
,rch-token,RCH Token RCH,RCH,,1.0%,N/A,N/A,Derivatives,2025-11-05T13:15:19.476544
,nereus-token,Nereus NRS,NRS,,0.1%,N/A,N/A,Derivatives,2025-11-05T13:15:19.605366
